"filename", "language", "YAML", "JSON", "C++", "CMake", "Swift", "Markdown", "XML", "Dart", "Properties", "HTML", "comment", "blank", "total"
"d:\mini Apps\demo_proj\lib\features\auth\screen\login\widget\custom_field.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 13, 67
"d:\mini Apps\demo_proj\lib\features\auth\screen\login\widget\green_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 3, 43
"d:\mini Apps\demo_proj\lib\features\auth\screen\login\widget\white_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 204, 0, 0, 7, 22, 233
"d:\mini Apps\demo_proj\lib\features\auth\screen\onboarding\onBoard.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 6, 58
"d:\mini Apps\demo_proj\lib\features\auth\screen\onboarding\widget\next_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 4, 68
"d:\mini Apps\demo_proj\lib\features\auth\screen\onboarding\widget\onBoard.page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 3, 36
"d:\mini Apps\demo_proj\lib\features\auth\screen\onboarding\widget\skip_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"d:\mini Apps\demo_proj\lib\features\auth\screen\onboarding\widget\smoth_page_ind.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"d:\mini Apps\demo_proj\lib\features\auth\screen\orders\orders_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 2, 20, 164
"d:\mini Apps\demo_proj\lib\features\auth\screen\otp_page\otp_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 21
"d:\mini Apps\demo_proj\lib\features\auth\screen\otp_page\widget\otp_green_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 3, 43
"d:\mini Apps\demo_proj\lib\features\auth\screen\otp_page\widget\otp_white_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 1, 14, 88
"d:\mini Apps\demo_proj\lib\features\auth\screen\profile\profile_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 2, 16, 93
"d:\mini Apps\demo_proj\lib\features\auth\screen\profile\widgets\profile_header.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 7, 32
"d:\mini Apps\demo_proj\lib\features\auth\screen\profile\widgets\profile_tile.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 8, 44
"d:\mini Apps\demo_proj\lib\features\auth\screen\signup\signup_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"d:\mini Apps\demo_proj\lib\features\auth\screen\signup\widgets\siginup_white_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 212, 0, 0, 4, 25, 241
"d:\mini Apps\demo_proj\lib\features\auth\screen\signup\widgets\signup_green_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 3, 43
"d:\mini Apps\demo_proj\lib\features\auth\screen\splash\splash_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 7, 17, 86
"d:\mini Apps\demo_proj\lib\features\auth\screen\splash\widgets\splash_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 8, 45
"d:\mini Apps\demo_proj\lib\features\auth\screen\verification\verify_email.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"d:\mini Apps\demo_proj\lib\features\auth\screen\verification\widgets\verify_green_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 6, 47
"d:\mini Apps\demo_proj\lib\features\auth\screen\verification\widgets\verify_white_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 7, 14, 171
"d:\mini Apps\demo_proj\lib\features\auth\services\auth_services.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 9, 12, 122
"d:\mini Apps\demo_proj\lib\features\data\models\cart\cart_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 15, 58
"d:\mini Apps\demo_proj\lib\features\data\models\product\product_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 9, 99
"d:\mini Apps\demo_proj\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 12, 3, 68
"d:\mini Apps\demo_proj\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 8, 14, 96
"d:\mini Apps\demo_proj\linux\CMakeLists.txt", "CMake", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 25, 129
"d:\mini Apps\demo_proj\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 10, 89
"d:\mini Apps\demo_proj\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"d:\mini Apps\demo_proj\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\mini Apps\demo_proj\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 25
"d:\mini Apps\demo_proj\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\mini Apps\demo_proj\linux\runner\main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\mini Apps\demo_proj\linux\runner\my_application.cc", "C++", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 25, 29, 145
"d:\mini Apps\demo_proj\linux\runner\my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\mini Apps\demo_proj\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 4, 21
"d:\mini Apps\demo_proj\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
"d:\mini Apps\demo_proj\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"d:\mini Apps\demo_proj\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"d:\mini Apps\demo_proj\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"d:\mini Apps\demo_proj\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"d:\mini Apps\demo_proj\pubspec.yaml", "YAML", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 14, 105
"d:\mini Apps\demo_proj\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 10, 6, 30
"d:\mini Apps\demo_proj\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 15, 5, 39
"d:\mini Apps\demo_proj\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\mini Apps\demo_proj\windows\CMakeLists.txt", "CMake", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 20, 109
"d:\mini Apps\demo_proj\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 12, 110
"d:\mini Apps\demo_proj\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 4, 5, 24
"d:\mini Apps\demo_proj\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
